,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,INCOME & EXPENSE SETUP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET YOUR CURRENCY,,,,,,,,,,CUSTOMIZE YOUR CATEGORIES,,,SET ACCOUNTS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,INCOME,EXPENSES,,ACCOUNT,,,,,,,,,,,,
,,AF,,,,,,,,,Mazuddin Salary,Fruits,,Herat Savings Account,,,,,,,,,,,,
,,,,,,,,,,,Akramddin Salary,Produce,,Us Bank Savings Account,,1/1/2050,Jan,,,,,,,,,
,,"Enter your currency symbol or copy them below. 
Double-click the white box to paste.",,,,,,,,,Grocery store,Meat,,Navy Federal Credit Union,,2/1/2050,Feb,,,,,,,,,
,,,,,,,,,,,Ice cream,Doctor and Medicine,,,,3/1/2050,Mar,,,,,,,,,
,,,,,,,,,,,Robinhood,Personal expense,,,,4/1/2050,Apr,,,,,,,,,
,,,,,,,,,,,Coinbase,Bread,,,,5/1/2050,May,,,,,,,,,
,,,,,,,,,,,Crypto.com,General grocery,,,,6/1/2050,Jun,,,,,,,,,
,SELECT YOUR START MONTH,,,,,ENTER YOUR START YEAR,,,,,Amazon ,Education,,,,7/1/2050,Jul,,,,,,,,,
,,,,,,,,,,,401k,Gift,,,,8/1/2050,Aug,,,,,,,,,
,Jan,,,,,2024,,,,,,Zakat,,,,9/1/2050,Sep,,,,,,,,,
,,,,,,,,,,,,Charity,,,,10/1/2050,Oct,,,,,,,,,
,,,,,,,,,,,,Phone Credit,,,,11/1/2050,Nov,,,,,,,,,
,COVERAGE PERIOD SUMMARY,,,,,,,,,,,,,,,12/1/2050,Dec,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024,,,2025,,,2026,,,,,,,,,,,,,,,,,,,
,Jan 2024,,,Jan 2025,,,Jan 2026,,,,,,,,,,,,,,,,,,,
,Feb 2024,,,Feb 2025,,,Feb 2026,,,,,,,,,,,,,,,,,,,
,Mar 2024,,,Mar 2025,,,Mar 2026,,,,,,,,,,,,,,,,,,,
,Apr 2024,,,Apr 2025,,,Apr 2026,,,,,,,,,,,,,,,,,,,
,May 2024,,,May 2025,,,May 2026,,,,,,,,,,,,,,,,,,,
,Jun 2024,,,Jun 2025,,,Jun 2026,,,,,,,,,,,,,,,,,,,
,Jul 2024,,,Jul 2025,,,Jul 2026,,,,,,,,,,,,,,,,,,,
,Aug 2024,,,Aug 2025,,,Aug 2026,,,,,,,,,,,,,,,,,,,
,Sep 2024,,,Sep 2025,,,Sep 2026,,,,,,,,,,,,,,,,,,,
,Oct 2024,,,Oct 2025,,,Oct 2026,,,,,,,,,,,,,,,,,,,
,Nov 2024,,,Nov 2025,,,Nov 2026,,,,,,,,,,,,,,,,,,,
,Dec 2024,,,Dec 2025,,,Dec 2026,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Feb 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Mar 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Apr 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,May 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jun 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jul 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Aug 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Sep 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Oct 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Nov 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Dec 2024,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jan 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Feb 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Mar 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Apr 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,May 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jun 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jul 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Aug 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Sep 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Oct 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Nov 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Dec 2025,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jan 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Feb 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Mar 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Apr 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,May 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jun 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Jul 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Aug 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Sep 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Oct 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Nov 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
,Dec 2026,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
